연도,국립,공립,사립,합계
1980,19,1,65,85
1981,19,1,69,89
1982,20,1,76,97
1983,20,1,77,98
1984,20,1,78,99
1985,21,1,78,100
1986,21,1,78,100
1987,22,1,80,103
1988,22,1,81,104
1989,22,1,81,104
1990,23,1,83,107
1991,23,1,91,115
1992,23,1,97,121
1993,24,1,102,127
1994,24,2,105,131
1995,24,2,105,131
1996,24,2,108,134
1997,24,2,124,150
1998,24,2,130,156
1999,24,2,132,158
2000,24,2,135,161
2001,24,2,136,162
2002,24,2,137,163
2003,24,2,143,169
2004,24,2,145,171
2005,24,2,147,173
2006,23,2,150,175
2007,23,2,150,175
2008,23,2,149,174
2009,24,2,151,177
2010,25,2,152,179
2011,28,2,153,183
2012,31,2,156,189
2013,32,1,155,188
2014,34,1,154,189
2015,34,1,154,189
2016,34,1,154,189
2017,34,1,154,189
2018,34,1,156,191
2019,34,1,156,191
2020,34,1,156,191
2021,33,1,156,190
2022,34,1,155,190
